"Num_Acc";"catr";"voie";"v1";"v2";"circ";"nbv";"vosp";"prof";"pr";"pr1";"plan";"lartpc";"larrout";"surf";"infra";"situ";"vma"
"202100000080";"3";"BONDUELLE (RUE DU DOCTEUR)";"0";"N/A";"2";"2";"0";"2";"19";"825";"3";"";" -1";"2";"3";"8";"50"
"202100000081";"4";"DUMONT D'URVILLE. BOULEVARD";"0";"N/A";"2";"2";"0";"1";"0";"0";"3";"";" -1";"1";"0";"1";"50"
"202100000082";"4";"CARNOT (AVENUE)";"0";"N/A";" -1";"3";"0";"2";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000083";"4";"N/A";" -1";"N/A";"2";"3";"2";"1";"(1)";"(1)";"1";"";" -1";"1";"0";"1";"50"
"202100000084";"3";"VICTOR GUICHARD (RUE)";"0";"N/A";"2";"2";"0";"1";"0";"600";"1";"";" -1";"1";"5";"1";"50"
"202100000085";"2";"RN7 ";"0";"N/A";"1";"1";"0";"1";"45";"575";"1";"";" -1";"1";"3";"1";"90"
"202100000086";"9";"COUVENT CHEMIN DE";"0";"N/A";" -1";"0";"0";"1";"1";"0";"2";"";" -1";"1";"0";"1";"50"
"202100000087";"4";"RADOLFZELL AVENUE DE";"0";"N/A";"2";"2";"0";"1";"0";"0";"1";"";" -1";"1";"0";"1";"50"
"202100000088";"3";"CD 41";"0";"N/A";"2";"2";"0";"2";"1";"0";"2";"";" -1";"2";"9";"1";"70"
"202100000089";"7";"AVENUE JULES VALLÈS";" -1";"N/A";"2";"2";" -1";"1";"(1)";"(1)";"1";"";" -1";"1";" -1";"1";"50"
"202100000090";"3";"ST LOUIS(PLACE)";"0";"N/A";"1";"2";"0";"1";"0";"0";"1";"";" -1";"1";"5";"1";"50"
"202100000091";"3";"GERE(RUE DE)";"0";"N/A";"2";"2";"0";"1";"0";"0";"2";"";" -1";"1";"0";"1";"50"
"202100000092";"3";"19";" -1";"N/A";" -1";" -1";" -1";"1";"14";"300";"1";"";" -1";"1";"5";"1";" -1"
"202100000093";"3";"MENDIG (Rue)";"0";"N/A";"2";"1";"0";"1";"0";"0";"1";"";" -1";"1";"6";"1";"50"
