"Num_Acc";"id_vehicule";"num_veh";"place";"catu";"grav";"sexe";"an_nais";"trajet";"secu1";"secu2";"secu3";"locp";"actp";"etatp"
"202100000034";"201 701";"A01";"10";"3";"2";"1";"2020";"0";"0";" -1";" -1";"5";"9";"2"
"202100000035";"201 698";"A01";"1";"1";"1";"2";"1996";"1";"1";" -1";" -1";" -1";" -1";" -1"
"202100000035";"201 698";"A01";"10";"3";"4";"1";"1995";"4";"8";"8";" -1";"1";"9";"1"
"202100000036";"201 696";"A01";"1";"1";"4";"1";"1998";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000036";"201 696";"A01";"2";"2";"3";"1";"2000";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000036";"201 696";"A01";"9";"2";"3";"1";"1999";"5";"0";" -1";" -1";"0";"0";" -1"
"202100000037";"201 695";"A01";"1";"1";"1";"2";"1976";"5";"8";" -1";" -1";" -1";" -1";" -1"
"202100000037";"201 695";"A01";"10";"3";"4";"2";"2006";"2";" -1";" -1";" -1";"3";"3";"1"
"202100000038";"201 693";"B01";"1";"1";"3";"1";"2001";"5";" -1";" -1";" -1";"0";"0";" -1"
"202100000038";"201 694";"A01";"1";"1";"1";" -1";"";" -1";"8";" -1";" -1";"0";"0";" -1"
"202100000039";"201 691";"A01";"1";"1";"1";"1";"1993";"0";"1";"8";" -1";" -1";" -1";" -1"
"202100000039";"201 692";"B01";"1";"1";"3";"1";"2003";"0";"2";"8";" -1";" -1";" -1";" -1"
"202100000040";"201 689";"B01";"1";"1";"3";"1";"1996";"1";"2";"0";" -1";" -1";" -1";" -1"
"202100000040";"201 690";"A01";"1";"1";"3";"1";"1979";"4";"2";"0";" -1";" -1";" -1";" -1"
"202100000041";"201 687";"A01";"1";"1";"1";"1";"1947";"5";"1";"0";" -1";" -1";" -1";" -1"
"202100000041";"201 688";"B01";"1";"1";"4";"1";"1999";"1";"2";"6";" -1";" -1";" -1";" -1"
"202100000042";"201 685";"B01";"1";"1";"4";"1";"1948";"5";"1";" -1";" -1";" -1";" -1";" -1"
"202100000042";"201 685";"B01";"2";"2";"4";"2";"1952";"5";"0";" -1";" -1";" -1";" -1";" -1"
"202100000042";"201 686";"A01";"1";"1";"4";"1";"1982";" -1";"1";" -1";" -1";" -1";" -1";" -1"
"202100000043";"201 682";"A01";"1";"1";"4";"2";"2001";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000044";"201 677";"A01";"1";"1";"4";"1";"1995";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000044";"201 677";"A01";"2";"2";"4";"1";"1998";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000044";"201 678";"B01";"1";"1";"1";"1";"2002";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000044";"201 678";"B01";"2";"2";"1";"1";"2003";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000044";"201 678";"B01";"4";"2";"1";"1";"2002";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000044";"201 679";"C01";"1";"1";"1";"2";"2001";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000044";"201 679";"C01";"2";"2";"1";"2";"2001";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000044";"201 679";"C01";"3";"2";"4";"1";"2001";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000044";"201 680";"D01";"1";"1";"1";"2";"1999";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000044";"201 680";"D01";"2";"2";"4";"1";"1999";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000044";"201 680";"D01";"3";"2";"4";"1";"1999";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000044";"201 680";"D01";"4";"2";"3";"1";"1999";"5";"0";" -1";" -1";"0";"0";" -1"
"202100000044";"201 681";"E01";"1";"1";"1";"2";"1999";"5";"1";" -1";" -1";"0";" -1";" -1"
"202100000045";"201 676";"A01";"1";"1";"1";" -1";"";" -1";" -1";" -1";" -1";" -1";" -1";" -1"
"202100000045";"201 676";"A01";"10";"3";"4";"1";"2009";"2";"0";" -1";" -1";"3";"3";"1"
"202100000046";"201 674";"A01";"1";"1";"1";"1";"2002";"0";"8";" -1";" -1";" -1";" -1";" -1"
"202100000046";"201 674";"A01";"2";"2";"1";"1";"2002";"0";"8";" -1";" -1";" -1";" -1";" -1"
"202100000046";"201 675";"B01";"1";"1";"4";"2";"1988";"1";"8";" -1";" -1";" -1";" -1";" -1"
"202100000047";"201 672";"A01";"1";"1";"3";"1";"2005";"5";"2";"8";" -1";" -1";" -1";" -1"
"202100000047";"201 672";"A01";"2";"2";"4";"1";"2006";"5";"2";"8";" -1";" -1";" -1";" -1"
"202100000047";"201 673";"B01";"1";"1";"1";"2";"1985";"5";"1";"0";" -1";" -1";" -1";" -1"
"202100000048";"201 669";"B01";"1";"1";"4";"2";"1981";"1";"1";" -1";" -1";"0";"0";" -1"
"202100000048";"201 670";"A01";"1";"1";"4";"2";"1971";"1";"1";" -1";" -1";"0";"0";" -1"
"202100000048";"201 671";"C01";"1";"1";"1";"1";"1980";"1";"1";" -1";" -1";"0";"0";" -1"
"202100000049";"201 661";"B01";"1";"1";"1";"2";"1983";"5";"1";"8";" -1";" -1";" -1";" -1"
"202100000049";"201 661";"B01";"2";"2";"1";"1";"2011";"5";"1";"8";" -1";" -1";" -1";" -1"
"202100000049";"201 661";"B01";"4";"2";"1";"1";"2016";"5";"3";"4";" -1";" -1";" -1";" -1"
"202100000049";"201 662";"A01";"1";"1";"4";"1";"1989";"5";"1";"0";" -1";" -1";" -1";" -1"
"202100000050";"201 659";"B01";"1";"1";"1";"1";"1999";"5";"1";"0";" -1";" -1";" -1";" -1"
"202100000050";"201 660";"A01";"1";"1";"1";"1";"1977";"5";"2";"4";" -1";" -1";" -1";" -1"
"202100000050";"201 660";"A01";"2";"2";"4";"2";"1969";"5";"2";"4";" -1";" -1";" -1";" -1"
"202100000051";"201 657";"B01";"1";"1";"1";" -1";"";" -1";" -1";" -1";" -1";" -1";" -1";" -1"
"202100000051";"201 658";"A01";"1";"1";"4";"2";"1981";"5";"8";"8";" -1";" -1";" -1";" -1"
"202100000052";"201 653";"A01";"1";"1";"3";"1";"1985";"1";"1";"0";" -1";" -1";" -1";" -1"
"202100000052";"201 653";"A01";"10";"3";"3";"2";"2013";"2";"0";" -1";" -1";"1";"3";"1"
"202100000053";"201 651";"A01";"1";"1";"1";"1";"1964";"5";"1";" -1";" -1";" -1";" -1";" -1"
"202100000053";"201 652";"B01";"1";"1";"3";"1";"1979";"1";"2";"4";" -1";" -1";" -1";" -1"
"202100000054";"201 650";"A01";"1";"1";"4";"2";"1981";"9";"0";" -1";" -1";" -1";" -1";" -1"
"202100000054";"201 650";"A01";"2";"2";"4";"1";"1975";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000054";"201 650";"A01";"4";"2";"4";"1";"1956";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000055";"201 648";"A01";"1";"1";"3";"1";"1980";"0";"2";"0";" -1";" -1";" -1";" -1"
"202100000055";"201 649";"B01";"1";"1";"1";"1";"1990";"5";"1";"0";" -1";" -1";" -1";" -1"
"202100000056";"201 647";"A01";"2";"1";"4";"1";"1990";"0";"2";"0";" -1";" -1";" -1";" -1"
"202100000057";"201 645";"B01";"1";"1";"4";"1";"1982";"1";"1";" -1";" -1";" -1";" -1";" -1"
"202100000057";"201 646";"A01";"1";"1";"4";"1";"2003";"5";"1";" -1";" -1";" -1";" -1";" -1"
"202100000057";"201 646";"A01";"2";"2";"4";"2";"2002";"5";"1";" -1";" -1";" -1";" -1";" -1"
"202100000058";"201 643";"A01";"1";"1";"1";"1";"1998";"9";"1";"0";" -1";" -1";" -1";" -1"
"202100000058";"201 643";"A01";"2";"2";"1";"2";"2018";"9";"1";"0";" -1";" -1";" -1";" -1"
"202100000058";"201 643";"A01";"6";"2";"1";"1";"2018";"9";"1";"0";" -1";" -1";" -1";" -1"
"202100000058";"201 643";"A01";"6";"2";"1";"1";"2020";"9";"1";"0";" -1";" -1";" -1";" -1"
"202100000058";"201 644";"B01";"1";"1";"4";"1";"1964";"4";"1";"0";" -1";" -1";" -1";" -1"
"202100000058";"201 644";"B01";"3";"2";"4";"1";"1962";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000058";"201 644";"B01";"4";"2";"4";"1";"1954";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000058";"201 644";"B01";"5";"2";"1";"1";"2004";"9";"1";"0";" -1";" -1";" -1";" -1"
"202100000059";"201 642";"A01";"1";"1";"3";"1";"1987";"5";"2";" -1";" -1";"0";"0";" -1"
"202100000060";"201 640";"A01";"1";"1";"3";"1";"1997";"0";"1";" -1";" -1";"0";"0";" -1"
"202100000060";"201 641";"B01";"1";"1";"3";"1";"1994";"0";"1";" -1";" -1";"0";"0";" -1"
"202100000061";"201 638";"A01";"1";"1";"1";"2";"1998";"1";"1";"0";" -1";" -1";" -1";" -1"
"202100000061";"201 639";"B01";"1";"1";"1";"1";"1982";"1";"1";"0";" -1";" -1";" -1";" -1"
"202100000061";"201 639";"B01";"2";"2";"3";"2";"2004";"1";"1";"0";" -1";" -1";" -1";" -1"
"202100000061";"201 639";"B01";"4";"2";"1";"1";"1996";"1";"1";"0";" -1";" -1";" -1";" -1"
"202100000062";"201 637";"A01";"1";"1";"1";"1";"1981";"1";"8";"0";" -1";"0";"0";" -1"
"202100000062";"201 637";"A01";"10";"3";"4";"2";"1958";"5";"0";" -1";" -1";"2";"3";"1"
"202100000063";"201 636";"A01";"1";"1";"4";"1";"1968";"1";"2";"6";" -1";"0";"0";" -1"
"202100000064";"201 634";"A01";"1";"1";"1";"2";"1971";"0";"0";" -1";" -1";" -1";" -1";" -1"
"202100000064";"201 635";"B01";"1";"1";"1";"1";"1950";"0";"0";" -1";" -1";" -1";" -1";" -1"
"202100000064";"201 635";"B01";"2";"2";"4";"1";"1992";"0";"0";" -1";" -1";" -1";" -1";" -1"
"202100000065";"201 633";"A01";"1";"1";"1";"1";"2004";"5";"8";"0";" -1";" -1";" -1";" -1"
"202100000065";"201 633";"A01";"10";"3";"3";"2";"2021";"5";"0";" -1";" -1";"9";"9";"1"
"202100000066";"201 632";"A01";"1";"1";"1";"2";"1960";"5";"1";"0";" -1";"0";"0";" -1"
"202100000066";"201 632";"A01";"10";"3";"3";"2";"1967";"1";"0";" -1";" -1";"2";"3";"1"
"202100000067";"201 630";"A01";"1";"1";"1";"2";"1969";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000067";"201 631";"B01";"1";"1";"4";"1";"1998";"0";"2";"0";" -1";" -1";" -1";" -1"
"202100000068";"201 629";"A01";"1";"1";"3";"1";"1984";"5";"0";" -1";" -1";"0";"0";" -1"
"202100000069";"201 627";"A01";"1";"1";"4";"1";"1969";" -1";"0";" -1";" -1";" -1";" -1";" -1"
"202100000069";"201 628";"B01";"1";"1";"1";"1";"1999";" -1";"0";" -1";" -1";" -1";" -1";" -1"
"202100000070";"201 625";"B01";"1";"1";"4";"1";"2005";" -1";"0";" -1";" -1";" -1";" -1";" -1"
"202100000070";"201 626";"A01";"1";"1";"1";"1";"1969";" -1";"0";" -1";" -1";" -1";" -1";" -1"
"202100000071";"201 623";"B01";"1";"1";"3";"1";"2007";"0";"0";" -1";" -1";" -1";" -1";" -1"
"202100000071";"201 623";"B01";"2";"2";"1";"1";"2007";"0";"0";" -1";" -1";" -1";" -1";" -1"
"202100000071";"201 624";"A01";"1";"1";"1";"2";"1980";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000072";"201 622";"A01";"1";"1";"2";"1";"1967";"1";"1";" -1";" -1";"0";"0";" -1"
"202100000073";"201 621";"A01";"1";"1";"1";"2";"1963";"3";"1";" -1";" -1";" -1";" -1";" -1"
"202100000073";"201 621";"A01";"10";"3";"3";"2";"1965";"5";"0";" -1";" -1";"5";"1";"1"
"202100000074";"201 620";"A01";"1";"1";"1";"1";"1944";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000074";"201 620";"A01";"10";"3";"3";"2";"2007";"5";"0";" -1";" -1";"3";"3";"1"
"202100000075";"201 616";"D01";"1";"1";"4";"1";"1974";"1";"1";" -1";" -1";"0";"0";" -1"
"202100000075";"201 617";"C01";"1";"1";"4";"1";"1972";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000075";"201 618";"B01";"1";"1";"4";"1";"1964";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000075";"201 618";"B01";"2";"2";"4";"2";"1981";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000075";"201 619";"A01";"1";"1";"4";"1";"2001";"5";"1";" -1";" -1";"0";"0";" -1"
"202100000076";"201 615";"A01";"1";"1";"2";"1";"2004";"5";"2";"8";" -1";" -1";" -1";" -1"
"202100000076";"201 615";"A01";"2";"2";"3";"1";"1999";"5";"2";"8";" -1";" -1";" -1";" -1"
"202100000077";"201 614";"A01";"1";"1";"1";"2";"1967";"3";"1";"8";" -1";"0";"0";" -1"
"202100000077";"201 614";"A01";"10";"3";"2";"2";"1947";"3";"8";"8";" -1";"1";"B";"1"
"202100000078";"201 612";"A01";"1";"1";"1";"1";"1974";"5";"1";"8";" -1";" -1";" -1";" -1"
"202100000078";"201 612";"A01";"2";"2";"1";"1";"1947";"5";"1";"8";" -1";" -1";" -1";" -1"
"202100000078";"201 613";"B01";"1";"1";"3";"2";"2006";"5";"2";"6";" -1";" -1";" -1";" -1"
"202100000078";"201 613";"B01";"2";"2";"3";"2";"2007";"5";"2";"6";" -1";" -1";" -1";" -1"
"202100000079";"201 610";"B01";"1";"1";"4";"1";"1987";"4";"1";"0";" -1";" -1";" -1";" -1"
"202100000079";"201 611";"A01";"1";"1";"1";"1";"1980";"4";"1";"0";" -1";" -1";" -1";" -1"
"202100000080";"201 609";"A01";"1";"1";"3";"2";"1997";"5";"1";"8";" -1";" -1";" -1";" -1"
"202100000080";"201 609";"A01";"2";"2";"1";"1";"1994";"5";"8";"0";" -1";" -1";" -1";" -1"
"202100000080";"201 609";"A01";"2";"2";"1";"1";"2003";"5";"8";"0";" -1";" -1";" -1";" -1"
"202100000081";"201 608";"A01";"1";"1";"4";"1";"1997";"0";"1";" -1";" -1";" -1";" -1";" -1"
"202100000081";"201 608";"A01";"2";"2";"4";"1";"1998";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000081";"201 608";"A01";"3";"2";"4";"1";"1997";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000081";"201 608";"A01";"4";"2";"4";"1";"1997";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000081";"201 608";"A01";"5";"2";"4";"1";"1997";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000082";"201 606";"A01";"1";"1";"1";"2";"1976";"1";"1";"0";" -1";" -1";" -1";" -1"
"202100000082";"201 607";"B01";"1";"1";"4";"1";"2004";"0";"2";"0";" -1";" -1";" -1";" -1"
"202100000082";"201 607";"B01";"2";"2";"4";"2";"2006";"5";"2";"0";" -1";" -1";" -1";" -1"
"202100000083";"201 605";"A01";"1";"1";"4";"1";"1970";"1";"2";" -1";" -1";" -1";" -1";" -1"
"202100000083";"201 605";"A01";"10";"3";"3";"2";"1952";"5";" -1";" -1";" -1";"3";"3";"1"
"202100000084";"201 603";"A01";"1";"1";"4";"2";"1973";"1";"1";"8";" -1";" -1";" -1";" -1"
"202100000084";"201 604";"B01";"1";"1";"1";"1";"1995";"5";"1";"8";" -1";" -1";" -1";" -1"
"202100000085";"201 597";"A01";"1";"1";"4";"1";"2000";"5";"1";"0";" -1";"0";"0";" -1"
"202100000085";"201 597";"A01";"2";"2";"4";"1";"1980";"5";"1";"0";" -1";" -1";" -1";" -1"
"202100000086";"201 596";"A01";"1";"1";"4";"1";"1993";"5";"8";"0";" -1";" -1";" -1";" -1"
"202100000086";"201 596";"A01";"2";"2";"1";"1";"1996";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000087";"201 594";"B01";"1";"1";"1";"2";"1973";"9";"1";"8";" -1";" -1";" -1";" -1"
"202100000087";"201 594";"B01";"2";"2";"1";"1";"2006";"9";"1";"8";" -1";" -1";" -1";" -1"
"202100000087";"201 595";"A01";"2";"1";"4";"1";"1989";"0";"2";"8";" -1";" -1";" -1";" -1"
"202100000088";"201 592";"A01";"1";"1";"1";"1";"2002";"5";"1";"8";" -1";" -1";" -1";" -1"
"202100000088";"201 592";"A01";"2";"2";"4";"1";"2000";"0";"1";"8";" -1";" -1";" -1";" -1"
"202100000089";"201 590";"B01";"1";"1";"3";"1";"1966";"1";"2";"8";" -1";" -1";" -1";" -1"
"202100000089";"201 591";"A01";"1";"1";"1";"1";"1996";"4";"1";"8";" -1";" -1";" -1";" -1"
"202100000090";"201 588";"B01";"1";"1";"4";"1";"2007";"5";"8";"0";" -1";" -1";" -1";" -1"
"202100000090";"201 589";"A01";"1";"1";"1";"1";"1965";"5";"1";"0";" -1";" -1";" -1";" -1"
"202100000091";"201 586";"A01";"1";"1";"1";"1";"1990";"0";"1";"0";" -1";" -1";" -1";" -1"
"202100000091";"201 587";"B01";"1";"1";"4";"1";"1979";"9";"2";"0";" -1";" -1";" -1";" -1"
"202100000092";"201 584";"A01";"1";"1";"1";"1";"1989";"1";"1";" -1";" -1";"0";"0";" -1"
"202100000092";"201 585";"B01";"1";"1";"3";"1";"2005";"2";"2";" -1";" -1";"0";"0";" -1"
"202100000093";"201 583";"A01";"1";"1";"1";"1";"1944";"5";"8";"0";" -1";" -1";" -1";" -1"
"202100000093";"201 583";"A01";"10";"3";"4";"2";"1951";"5";"0";" -1";" -1";"3";"3";"1"
"202100000094";"201 582";"A01";"1";"1";"4";"1";"1939";"9";"8";"0";" -1";" -1";" -1";" -1"
"202100000095";"201 581";"A01";"1";"1";"1";"1";"1998";"0";"1";"0";" -1";" -1";" -1";" -1"
