"Num_Acc";"id_vehicule";"num_veh";"senc";"catv";"obs";"obsm";"choc";"manv";"motor";"occutc"
"202100000119";"201 541";"A01";"0";"7";"0";"1";"1";"1";"6";""
"202100000120";"201 540";"A01";"2";"7";"0";"1";"1";"1";"1";""
"202100000121";"201 538";"A01";"1";"30";"0";"2";"1";"1";"1";""
"202100000121";"201 539";"B01";"1";"7";"0";"2";"4";"23";"1";""
"202100000122";"201 536";"A01";"3";"7";"8";"2";"2";"1";"1";""
"202100000122";"201 537";"B01";"3";"7";"0";"2";"6";"1";"1";""
"202100000123";"201 535";"A01";"1";"7";"3";"0";"2";"1";"1";""
"202100000124";"201 533";"B01";"1";"7";"0";"2";"1";"1";"1";""
"202100000124";"201 534";"A01";"2";"7";"0";"2";"1";"1";"1";""
"202100000125";"201 532";"A01";"2";"7";"0";"0";"3";"1";"1";""
"202100000126";"201 530";"B01";"2";"33";"0";"2";"1";"17";"1";""
"202100000126";"201 531";"A01";"2";"7";"0";"2";"8";"15";"1";""
"202100000127";"201 529";"A01";"3";"39";"0";"1";"2";"19";"3";""
"202100000128";"201 524";"A01";"3";"7";"0";"0";"1";"19";"1";""
"202100000129";"201 523";"A01";"0";"7";"12";"0";"2";"1";"1";""
"202100000130";"201 521";"A01";"3";"7";"0";"2";"3";"1";"1";""
"202100000130";"201 522";"B01";"3";"50";"0";"2";"0";"0";"3";""
"202100000131";"201 517";"B01";"1";"2";"0";"2";"1";"1";"1";""
"202100000131";"201 518";"A01";"1";"7";"0";"2";"3";"15";"1";""
"202100000132";"201 514";"A01";"0";"33";"0";"0";"1";"26";"1";""
"202100000133";"201 512";"B01";"2";"34";"0";"2";"1";"1";"1";""
"202100000133";"201 513";"A01";"1";"7";"0";"2";"2";"15";"1";""
"202100000134";"201 510";"A01";"2";"30";"0";"1";"1";"17";"1";""
"202100000134";"201 511";"B01";"1";"7";"0";"2";"8";"23";"1";""
"202100000135";"201 509";"A01";"3";"36";"2";"0";"1";"13";"1";""
"202100000136";"201 507";"A01";"3";"13";"0";"2";"2";"26";"1";""
"202100000136";"201 508";"B01";"3";"1";"0";"2";"3";"0";"0";""
"202100000137";"201 503";"D01";"1";"7";"0";"2";"4";"1";"1";""
"202100000137";"201 504";"C01";"1";"7";"0";"2";"6";"1";"1";""
"202100000137";"201 505";"B01";"1";"7";"12";"2";"5";"1";"1";""
"202100000137";"201 506";"A01";"1";"99";"0";"2";"1";"1";"1";""
"202100000138";"201 501";"A01";"1";"7";"0";"1";"1";"1";"1";""
"202100000139";"201 499";"B01";"1";"2";"0";"2";"1";"1";"1";""
"202100000139";"201 500";"A01";"1";"7";"0";"2";"5";"4";"1";""
"202100000140";"201 497";"B01";"2";"32";"0";"2";"1";"1";"1";""
"202100000140";"201 498";"A01";"2";"7";"0";"2";"4";"9";"1";""
"202100000141";"201 495";"B01";"3";"2";"0";"2";"0";"13";"1";""
"202100000141";"201 496";"A01";"3";"99";"0";"2";"3";"0";"1";""
"202100000142";"201 491";"C01";"1";"7";"0";"2";"4";"1";"1";""
"202100000142";"201 492";"A01";"1";"7";"0";"2";"1";"1";"1";""
"202100000142";"201 493";"B01";"1";"7";"0";"2";"4";"1";"1";""
"202100000143";"201 488";"A01";"1";"7";"0";"2";"7";"11";"1";""
"202100000143";"201 489";"B01";"1";"7";"0";"2";"9";"1";"2";""
"202100000143";"201 490";"C01";"1";"7";"0";"2";"8";"1";"1";""
"202100000144";"201 486";"A01";"2";"7";"0";"2";"1";"1";"1";""
"202100000144";"201 487";"B01";"2";"7";"0";"2";"4";"2";"1";""
"202100000145";"201 484";"A01";"2";"7";"3";"2";"2";"17";"1";""
"202100000145";"201 485";"B01";"2";"7";"3";"2";"6";"1";"1";""
"202100000146";"201 483";"A01";"1";"7";"4";"0";"1";"12";"1";""
"202100000147";"201 482";"A01";"2";"7";"16";"0";"1";"1";"1";""
"202100000148";"201 479";"C01";"2";"7";"0";"2";"8";"21";"1";""
"202100000148";"201 480";"B01";"2";"7";"0";"2";"1";"1";"1";""
"202100000148";"201 481";"A01";"2";"7";"0";"2";"4";"1";"1";""
"202100000149";"201 478";"A01";"1";"7";"4";"9";"1";"21";"1";""
"202100000150";"201 477";"A01";"2";"7";"1";"0";"1";"13";"1";""
"202100000151";"201 475";"A01";"2";"7";"0";"2";"3";"13";"1";""
"202100000151";"201 476";"B01";"1";"7";"0";"2";"3";"21";"1";""
"202100000152";"201 474";"A01";"3";"33";"0";"0";"4";"1";"1";""
"202100000153";"201 473";"A01";"1";"7";"0";"6";"3";"1";"2";""
"202100000154";"201 472";"A01";"1";"7";"0";"1";"1";"15";"1";""
"202100000155";"201 471";"A01";"3";"30";"1";"0";"5";"1";"1";""
"202100000156";"201 469";"B01";"1";"33";"0";"2";"0";"0";"1";""
"202100000156";"201 470";"A01";"1";"7";"0";"2";"3";"9";"1";""
"202100000157";"201 467";"B01";"2";"33";"0";"2";"1";"1";"1";""
"202100000157";"201 468";"A01";"1";"7";"0";"2";"2";"15";"1";""
"202100000158";"201 465";"B01";"0";"7";"0";"2";"5";"1";"1";""
"202100000158";"201 466";"A01";"0";"7";"0";"2";"1";"19";"1";""
"202100000159";"201 464";"A01";"2";"7";"6";"0";"3";"13";"1";""
"202100000160";"201 462";"A01";"0";"10";"0";"2";"3";"0";"1";""
"202100000160";"201 463";"B01";"0";"7";"0";"2";"3";"0";"1";""
"202100000161";"201 458";"B01";"3";"31";"0";"2";"3";"10";"1";""
"202100000161";"201 459";"A01";"3";"7";"0";"2";"2";"17";"1";""
"202100000162";"201 456";"B01";"0";"1";"0";"2";"1";"2";"5";""
"202100000162";"201 457";"A01";"0";"7";"0";"2";"2";"11";"1";""
"202100000163";"201 453";"A01";"1";"7";"0";"1";"0";"1";"0";""
"202100000164";"201 452";"A01";"1";"7";"0";"1";"1";"1";"1";""
"202100000165";"201 451";"A01";"2";"7";"0";"1";"2";"1";"1";""
"202100000166";"201 447";"C01";"2";"7";"0";"2";"2";"2";"0";""
"202100000166";"201 448";"D01";"2";"7";"0";"2";"1";"2";"1";""
"202100000166";"201 449";"B01";"2";"7";"0";"2";"6";"2";"1";""
"202100000166";"201 450";"A01";"2";"7";"0";"2";"4";"1";"1";""
"202100000167";"201 445";"B01";"3";"7";"0";"9";"3";"1";"1";""
"202100000167";"201 446";"A01";"3";"33";"0";"2";"1";"1";"1";""
"202100000168";"201 443";"B01";"3";"7";"0";"2";"4";"23";"1";""
"202100000168";"201 444";"A01";"3";"7";"0";"2";"1";"2";"1";""
"202100000169";"201 442";"A01";"0";"7";"0";"0";"9";"21";"1";""
"202100000170";"201 440";"A01";"2";"7";"0";"2";"1";"13";"1";""
"202100000170";"201 441";"B01";"1";"10";"0";"2";"1";"21";"1";""
"202100000171";"201 438";"B01";"1";"2";"0";"2";"1";"0";"6";""
"202100000171";"201 439";"A01";"1";"7";"0";"2";"3";"15";"0";""
"202100000172";"201 436";"B01";"2";"7";"0";"2";"3";"15";"1";""
"202100000172";"201 437";"A01";"2";"30";"1";"2";"9";"17";"1";""
"202100000173";"201 434";"A01";"1";"34";"0";"2";"8";"15";"1";""
"202100000173";"201 435";"B01";"1";"2";"0";"2";"3";"15";"1";""
"202100000174";"201 433";"A01";"2";"7";"0";"0";"9";"13";"1";""
"202100000175";"201 432";"A01";"1";"1";"0";"0";"8";"1";"5";""
"202100000176";"201 431";"A01";"2";"7";"0";"1";"1";"1";"1";""
"202100000177";"201 429";"B01";"2";"31";"0";"2";"1";"3";"1";""
"202100000177";"201 430";"A01";"1";"30";"0";"2";"1";"3";"1";""
"202100000178";"201 424";"B01";"2";"7";"0";"2";"4";"23";"1";""
"202100000178";"201 425";"A01";"2";"7";"2";"2";"1";"26";"1";""
"202100000179";"201 422";"A01";"1";"1";"0";"2";"8";"2";"5";""
"202100000179";"201 423";"B01";"1";"7";"0";"2";"7";"16";"1";""
"202100000180";"201 420";"A01";"2";"1";"0";"2";"4";"1";"5";""
"202100000180";"201 421";"B01";"2";"7";"0";"2";"1";"1";" -1";""
"202100000181";"201 418";"B01";"1";"1";"0";"2";"1";"1";"5";""
"202100000181";"201 419";"A01";"2";"7";"0";"2";"1";"15";"1";""
"202100000182";"201 417";"A01";"2";"7";"15";"0";"1";"1";"1";""
"202100000183";"201 416";"A01";"2";"33";"14";"0";"1";"1";"1";""
"202100000184";"201 413";"A01";"1";"7";"2";"0";"3";"1";"1";""
"202100000185";"201 411";"A01";"2";"7";"0";"2";"2";"15";"1";""
"202100000185";"201 412";"B01";"1";"2";"0";"0";"2";"1";"1";""
"202100000186";"201 409";"A01";"1";"7";"0";"2";"1";"1";"1";""
"202100000186";"201 410";"B01";"1";"7";"0";"2";"4";"15";"1";""
"202100000187";"201 407";"A01";"0";"7";"0";"2";"3";"13";"1";""
"202100000187";"201 408";"B01";"0";"7";"0";"2";"3";"1";"1";""
"202100000188";"201 406";"A01";"1";"7";"13";"0";"2";"1";"1";""
"202100000189";"201 403";"A01";"3";"7";"0";"2";"1";"1";"1";""
"202100000189";"201 404";"B01";"3";"7";"0";"2";"4";"23";"1";""
"202100000189";"201 405";"C01";"3";"7";"6";"2";"4";"23";"1";""
"202100000190";"201 401";"A01";"3";"99";"0";"2";"1";"1";"3";""
"202100000190";"201 402";"B01";"3";"7";"0";"2";"3";"9";"2";""
"202100000191";"201 399";"B01";"0";"80";"0";"2";"1";"15";"3";""
"202100000191";"201 400";"A01";"2";"7";"0";"2";"1";"15";"1";""
"202100000192";"201 398";"A01";"1";"7";"0";"1";"2";"9";"1";""
"202100000193";"201 396";"B01";"1";"7";"0";"2";"3";"13";"0";""
"202100000193";"201 397";"A01";"2";"7";"0";"2";"3";"1";"1";""
"202100000194";"201 395";"A01";"0";"7";"2";"0";"1";"15";"1";""
"202100000195";"201 393";"B01";"1";"39";"0";"2";"8";"1";"3";""
"202100000195";"201 394";"A01";"2";"1";"0";"4";"0";"26";"5";""
"202100000196";"201 392";"A01";"2";"7";"3";"0";"1";"1";"1";""
"202100000197";"201 387";"A01";"1";"7";"1";"1";"1";"25";"1";""
"202100000198";"201 386";"A01";"1";"7";"8";"0";"1";"1";"1";""
"202100000199";"201 384";"B01";"1";"7";"0";"2";"4";"1";" -1";""
"202100000199";"201 385";"A01";"1";"30";"0";"2";"1";"1";"0";""
"202100000200";"201 383";"A01";"3";"30";"0";"1";"1";"18";"1";""
"202100000201";"201 379";"A01";"2";"7";"0";"2";"1";"9";"1";""
"202100000201";"201 380";"B01";"1";"1";"0";"2";"3";"9";"5";""
"202100000202";"201 377";"A01";"2";"7";"0";"2";"3";"15";"1";""
"202100000202";"201 378";"B01";"3";"2";"0";"2";"1";"1";"1";""
"202100000203";"201 376";"A01";"1";"1";"0";"0";"8";"1";"5";""
"202100000204";"201 374";"B01";"2";"80";"0";"2";"7";"1";"3";""
"202100000204";"201 375";"A01";"2";"7";"0";"2";"1";"1";"1";""
"202100000205";"201 370";"A01";"1";"7";"0";"2";"4";"1";"1";""
"202100000205";"201 371";"B01";"1";"10";"0";"2";"1";"1";"1";""
"202100000206";"201 368";"B01";"2";"34";"0";"2";"1";"16";"1";""
"202100000206";"201 369";"A01";"2";"7";"0";"2";"7";"1";"1";""
"202100000207";"201 366";"B01";"3";"7";"0";"2";"2";"1";"1";""
"202100000207";"201 367";"A01";"3";"33";"0";"2";"2";"1";"1";""
"202100000208";"201 365";"A01";"3";"7";"3";"0";"1";"26";"1";""
"202100000209";"201 364";"A01";"1";"7";"9";"0";"1";"13";"1";""
"202100000210";"201 363";"A01";"1";"32";"0";"1";"1";"0";"1";""
"202100000211";"201 361";"B01";"0";"7";"0";"0";"0";"0";"0";""
"202100000211";"201 362";"A01";"0";"7";"8";"2";"3";"7";"1";""
"202100000212";"201 360";"A01";"1";"7";"6";"0";"1";"1";"1";""
"202100000213";"201 357";"A01";"2";"7";"0";"1";"2";"2";"1";""
"202100000214";"201 355";"A01";"1";"7";"0";"2";"4";"1";"1";""
"202100000214";"201 356";"B01";"1";"2";"0";"2";"1";"2";"1";""
"202100000215";"201 354";"A01";"3";"7";"0";"1";"2";"1";"1";""
"202100000216";"201 351";"C01";"1";"7";"0";"2";"8";"23";"1";""
"202100000216";"201 352";"A01";"1";"7";"0";"2";"1";"15";"1";""
"202100000216";"201 353";"B01";"1";"10";"0";"2";"7";"26";"1";""
"202100000217";"201 350";"A01";"3";"1";"16";"0";"1";"1";"5";""
"202100000218";"201 348";"A01";"1";"7";"0";"2";"7";"16";"1";""
"202100000218";"201 349";"B01";"1";"1";"0";"2";"7";"1";"5";""
"202100000219";"201 346";"B01";"1";"33";"0";"2";"1";"3";"1";""
