"Num_Acc";"jour";"mois";"an";"hrmn";"lum";"dep";"com";"agg";"int";"atm";"col";"adr";"lat";"long"
"202000000254";"20";"9";"2020";"12:30";"1";"44";"44096";"1";"1";"1";"6";"Tacon";"47,4171486";" -1,2480014"
"202000000255";"20";"9";"2020";"09:10";"1";"29";"29146";"2";"3";"1";"1";"Rue de la Boissiere";"47,9062785";" -3,8388665"
"202000000256";"20";"9";"2020";"15:20";"1";"29";"29190";"1";"1";"1";"1";"Pointe Saint-Mathieu";"48,3340405";" -4,7713232"
"202000000257";"11";"9";"2020";"05:20";"3";"13";"13027";"1";"1";"5";"1";"446 Route de Tarascon";"43,8796370";"4,8412640"
"202000000258";"20";"9";"2020";"19:30";"2";"02";"02757";"1";"1";"1";"6";"D960";"49,9264720";"3,5504560"
"202000000259";"21";"9";"2020";"07:00";"2";"03";"03123";"1";"1";"1";"6";"N/A";"46,4416036";"2,6518389"
"202000000260";"21";"9";"2020";"03:40";"3";"54";"54162";"1";"1";"1";"6";"N4";"48,6561033";"5,8416152"
"202000000261";"21";"9";"2020";"19:50";"2";"60";"60086";"1";"6";"1";"3";"D603";"49,1760930";"2,3527690"
"202000000262";"20";"9";"2020";"09:10";"1";"43";"43124";"1";"2";"2";"3";"Allée des Peupliers";"45,0893570";"3,7528560"
"202000000263";"21";"9";"2020";"07:30";"1";"53";"53007";"1";"3";"5";"7";"Argentré";"48,0723260";" -0,6521680"
"202000000264";"21";"9";"2020";"07:45";"1";"21";"21534";"1";"1";"7";"2";"Route de Chorey";"47,0408670";"4,9109060"
"202000000265";"17";"9";"2020";"16:30";"1";"40";"40245";"2";"1";"1";"6";"Rue Pénecadet";"44,0321680";" -0,3243670"
"202000000266";"20";"9";"2020";"10:45";"1";"27";"27467";"2";"6";"1";"1";"Rue Stanislas Delaquaize";"49,3526340";"0,5137560"
"202000000267";"20";"9";"2020";"19:00";"1";"52";"52421";"1";"1";"1";"7";"19 Rue de la Vieille Côte";"48,1807530";"5,1515470"
"202000000268";"20";"9";"2020";"12:22";"1";"88";"88442";"1";"1";"1";"7";"Route du Col";"48,0346360";"6,7958110"
"202000000269";"21";"9";"2020";"09:20";"1";"49";"49092";"1";"1";"1";"6";"A87";"47,2126090";" -0,7641290"
"202000000270";"20";"9";"2020";"20:15";"3";"69";"69086";"1";"1";"2";"6";"A89";"45,8519550";"4,6686530"
"202000000271";"21";"9";"2020";"17:15";"1";"57";"57342";"1";"1";"1";"3";"1 Route Nationale 4";"48,6449260";"6,9193700"
"202000000272";"21";"9";"2020";"00:15";"3";"17";"17283";"1";"1";"1";"1";"Route de Gemozac";"45,5730620";" -0,5887130"
"202000000273";"21";"9";"2020";"15:40";"1";"38";"38173";"1";"1";"1";"7";"D1091";"45,0423260";"6,1232040"
"202000000274";"20";"9";"2020";"19:00";"1";"68";"68278";"2";"1";"1";"6";"17 Rue du Docteur Albert Schweitzer";"47,7535930";"7,3830650"
"202000000275";"21";"9";"2020";"16:00";"1";"974";"97415";"2";"1";"1";"7";"74 Rue des Tamarins";" -21,0385200";"55,2236420"
